Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13 00:00:00-05:00,0.05396323891207711,0.061899080925759534,0.05396323891207711,0.05925339460372925,1031788800,0.0,0.0
1986-03-14 00:00:00-05:00,0.05925338330188409,0.06242808458754485,0.05925338330188409,0.06136944517493248,308160000,0.0,0.0
1986-03-17 00:00:00-05:00,0.06136943655626949,0.0629570912141753,0.06136943655626949,0.062428075820207596,133171200,0.0,0.0
1986-03-18 00:00:00-05:00,0.06242807888610542,0.06295709430605353,0.06031140873028038,0.0608404241502285,67766400,0.0,0.0
1986-03-19 00:00:00-05:00,0.060840439280874736,0.061369454832385796,0.05925339262634158,0.05978240817785263,47894400,0.0,0.0
1986-03-20 00:00:00-05:00,0.05978243340620552,0.05978243340620552,0.0576663703071768,0.058195386081933975,58435200,0.0,0.0
1986-03-21 00:00:00-05:00,0.05819538520946156,0.05925341674311378,0.05555030637533102,0.05660833790898323,59990400,0.0,0.0
1986-03-24 00:00:00-05:00,0.056608310182140756,0.056608310182140756,0.05449224815128694,0.0550212636590004,65289600,0.0,0.0
1986-03-25 00:00:00-05:00,0.05502126717479392,0.05607929825782775,0.054492251633277006,0.05607929825782776,32083200,0.0,0.0
1986-03-26 00:00:00-05:00,0.05607929976361394,0.05819536198650003,0.05555028420789242,0.0576663464307785,22752000,0.0,0.0
1986-03-27 00:00:00-05:00,0.057666331564470354,0.05872436240315437,0.057666331564470354,0.05872436240315437,16848000,0.0,0.0
1986-03-31 00:00:00-05:00,0.05872440185669116,0.05872440185669116,0.05713735453241962,0.058195386081933975,12873600,0.0,0.0
1986-04-01 00:00:00-05:00,0.05819536198650003,0.05819536198650003,0.05766634643077851,0.0576663464307785,11088000,0.0,0.0
1986-04-02 00:00:00-05:00,0.0576663703071768,0.059253417631448334,0.0576663703071768,0.058195386081933975,27014400,0.0,0.0
1986-04-03 00:00:00-05:00,0.05872436240315437,0.0603114086611804,0.05872436240315437,0.05872436240315437,23040000,0.0,0.0
1986-04-04 00:00:00-05:00,0.05872436240315437,0.05925337782249638,0.05872436240315437,0.05872436240315437,26582400,0.0,0.0
1986-04-07 00:00:00-05:00,0.058724377542221554,0.05925339309794307,0.05660831531933546,0.0576663464307785,16560000,0.0,0.0
1986-04-08 00:00:00-05:00,0.0576663703071768,0.059253417631448334,0.0576663703071768,0.058195386081933975,10252800,0.0,0.0
1986-04-09 00:00:00-05:00,0.05819536346539882,0.05978241017289446,0.05819536346539882,0.05925339460372925,12153600,0.0,0.0
1986-04-10 00:00:00-05:00,0.05925339262634158,0.06031142372936368,0.058195361523319465,0.05978240817785263,13881600,0.0,0.0
1986-04-11 00:00:00-05:00,0.06031140873028038,0.06189906346615731,0.06031140873028038,0.0608404241502285,17222400,0.0,0.0
1986-04-14 00:00:00-05:00,0.06084042970667038,0.061899069119282744,0.06084042970667038,0.06136944517493248,12153600,0.0,0.0
1986-04-15 00:00:00-05:00,0.06136944517493249,0.06136944517493249,0.05925338330188409,0.06136944517493248,9302400,0.0,0.0
1986-04-16 00:00:00-05:00,0.06136945104336346,0.06401513711375487,0.060840435524514444,0.06348612159490585,31910400,0.0,0.0
1986-04-17 00:00:00-05:00,0.06348614922228986,0.06401516497135162,0.06348614922228986,0.06401516497135162,22003200,0.0,0.0
1986-04-18 00:00:00-05:00,0.06401515470530272,0.06401515470530272,0.06136946790786901,0.0618990920484066,21628800,0.0,0.0
1986-04-21 00:00:00-05:00,0.0618990920484066,0.06242810771263064,0.06031143657942095,0.0618990920484066,22924800,0.0,0.0
1986-04-22 00:00:00-05:00,0.06189906346615731,0.06189906346615731,0.06084042415022849,0.0608404241502285,15552000,0.0,0.0
